
子龙一一一一:    5156190/1086=4747.8729281767955
暴风泰坦一一:   11458200/1324=8654.229607250756

剑圣西纳一一:     7376560/826=8930.46004842615
精灵之翼一一:     1524524/170=8967.788235294118
王者圣甲一一:     2210720/245=9023.34693877551
孙小圣一一一:     6848740/759=9023.372859025032
灵巫杖一一一:     1039774/115=9041.51304347826
蓝色幻想一一:     2176656/240=9069.4
泪红羽绾一一:     1952320/215=9080.558139534884
武神奉先一一:     8687148/949=9154.00210748156
天马岚牙一一:   10441917/1140=9159.576315789474
红莲之剑一一:     1468691/160=9179.31875
冒险者之翼三:     1010263/110=9184.209090909091
蓝戒指二一一:     1289220/140=9208.714285714286
蓝钢之铠一一:       788451/85=9275.894117647058
王者之翼二一:     4468170/480=9308.6875
皓月之袍一一:     2710197/290=9345.506896551724
烈阳战斧一一:     1311350/140=9366.785714285714
王者之剑二一:     2717933/290=9372.18275862069
王者指环一一:     3659780/390=9384.051282051281
太虚剑一一一:     1786764/190=9404.021052631579
圆桌铠甲一一:       820747/70=11724.957142857143
王者指环一一:     6738730/390=17278.79487179487
王者圣甲一一:     5674720/245=23162.122448979593

process:  
    date         |  level | fight   |  cell | get
    2019-03-26   |  1725  |  1.12D | 21.4U    |           |         | 秒伤 1851%   开始×3
    2019-03-24   |  1720  |  680U  | 17.3U    |           |         | 
    2019-03-23   |  1715  |  583U  | 16.2U    |           |         | 金币 1055.5%
    2019-03-22   |  1710  |  500U  | 15.3U    |           |         | 秒伤 1666%
    2019-03-20   |  1700  |  348U  | 11.8U    |           |         | 
    2019-03-18   |  1695  |  259U  | 6.69U    |           |         | 
    2019-03-14   |  1690  |  222U  | 5.71U    |           |         | 
    2019-03-13   |  1685  |  152U  | 4.31U    |           |         | 
    2019-03-12   |  1680  |  127U  | 4.12U    |           |         | 
    2019-03-11   |  1675  |  108U  | 3.99U    |           |         | 
    2019-03-10   |  1670  | 86.3U  | 2.09U    |           |         | 
    2019-03-09   |  1665  | 73.6U  | 1.76U    |           |         | 
    2019-03-08   |  1660  | 62.9U  | 1.63U    |           |         | 
    2019-03-07   |  1655  |   54U  | 1.57U    |           |         | 
    2019-03-06   |  1650  | 40.9U  | 1.19U    |           |         | 
    2019-03-05   |  1645  | 31.4U  | 1.09U    |           |         | 1633.3%
    2019-03-01   |  1640  | 26.8U  |  722d    |           |         | 
    2019-02-28   |  1635  |   23U  |  698d    |           |         | 
    2019-02-27   |  1630  | 19.7U  |  698d    |           |         | 
    2019-02-26   |  1625  |   17U  |  417d    |           |         | 
    2019-02-24   |  1620  | 11.5U  |  412d    |           |         | 
    2019-02-24   |  1615  | 9.78U  |  405d    |           |         | 1600%
    2019-02-23   |  1610  | 7.09U  |  375d    |           |         | 
    2019-02-21   |  1605  |    6U  |  285d    |           |         | 
    2019-02-21   |  1600  | 5.09U  |  285d    |           |         | 
    2019-02-20   |  1595  | 4.14U  |  285d    |           |         | 
    2019-02-19   |  1590  | 3.47U  |  272d    |           |         | 
    2019-02-18   |  1585  | 2.97U  |  240d    |           |         | 
    2019-02-17   |  1580  | 2.55U  |  127d    |           |         | 
    2019-02-16   |  1575  | 2.19U  |  116d    |           |         | 
    2019-02-15   |  1570  |  1.4U  | 93.6d    |           |         | 
    2019-02-14   |  1565  | 1.19U  | 93.3d    |           |         | 1566.6%
    2019-02-13   |  1560  | 1.01U  | 82.9d    |           |         | 
    2019-01-31   |  1555  |  860d  | 31.2d    |           |         | 
    2019-01-30   |  1550  |  693d  | 30.6d    |           |         | 
    2019-01-29   |  1545  |  519d  | 29.5d    |           |         | 
    2019-01-28   |  1540  |  441d  | 29.5d    |           |         | 
    2019-01-26   |  1520  |  177d  | 27.9d    |           |         | 1533.3%
    2019-01-25   |  1515  |  159d  | 12.5d    |           |         | 
    2019-01-24   |  1510  |  126d  | 12.5d    |           |         | 
    2019-01-22   |  1505  |  107d  | 12.5d    |           |         | 
    2019-01-16   |  1500  | 80.7d  | 8.12d    |           |         | 
    2019-01-15   |  1495  |   64d  | 7.02d    |           |         | 
    2019-01-14   |  1490  | 54.1d  | 7.02d    |           |         | 
    2019-01-10   |  1485  | 45.1d  | 3.32d    |           |         | 
    2019-01-09   |  1480  | 38.3d  | 1.5d     |           |         | 
    2019-01-08   |  1475  | 32.7d  | 1.43d    |           |         | 
    2019-01-06   |  1460  | 14.3d  | 757n     |           |         | 
    2019-01-03   |  1455  |        | 298n     |           |         | 
    2019-01-02   |  1450  | 9.93d  | 288n     |           |         | 1500%
    2018-12-28   |  1445  | 7.94d  | 220n     |           |         | 1200%
    2018-12-26   |  1440  | 6.7d   | 194n     |           |         | 1173.3%
    2018-12-25   |  1435  | 5.68d  | 188n     |           |         | 
    2018-12-24   |  1430  | 4.83d  | 155n     |           |         | 
    2018-12-20   |  1425  | 4.12d  | 123n     |           |         | 
    2018-12-19   |  1420  | 2.73d  | 117n     |           |         | 
    2018-12-18   |  1415  | 2.15d  | 113n     |           |         | 
    2018-12-17   |  1410  | 1.81d  | 75.2n    |           |         | 
    2018-12-16   |  1405  | 1.53d  | 75.2n    |           |         | 
    2018-12-13   |  1390  | 803n   | 45.2n    |           |         | 
    2018-12-12   |  1385  | 576n   | 44.8n    |           |         | 
    2018-12-11   |  1380  | 481n   | 43.4n    |           |         | 1140.7%
    2018-12-10   |  1375  | 403n   | 41.1n    |           |         | 
    2018-12-07   |  1370  | 322n   |          |           |         | 
    2018-12-06   |  1365  | 264n   |          |           |         | 
    2018-12-05   |  1360  | 222n   | 15.4n    |           |         | 
    2018-12-04   |  1355  | 187n   |          |           |         | 
    2018-12-03   |  1350  | 144n   | 10.7n    |           |         | 
    2018-12-02   |  1345  | 112n   | 8.09n    |           |         | 
    2018-12-01   |  1340  | 94n    | 7.02n    |           |         | 
    2018-11-30   |  1335  | 79.1n  | 4.17n    |           |         | 
    2018-11-26   |  1315  |        | 2.11n    |           |         | 
    2018-11-26   |  1310  | 25.1n  | 2.11n    |           |         | 1114.8%
    2018-11-25   |  1305  | 20.5n  | 1.32n    |           |         | 
    2018-11-24   |  1300  | 17.1n  | 1.3n     |           |         | 
    2018-11-23   |  1295  | 14n    | 1.27n    |           |         | 
    2018-11-22   |  1290  | 11.7n  |          |           |         | 
    2018-11-21   |  1285  | 9.85n  | 1.12n    |           |         | 
    2018-11-20   |  1280  | 8.31n  | 1.12n    |           |         | 
    2018-11-19   |  1275  | 7.03n  | 880o     |           |         | 
    2018-11-16   |  1270  | 4.7n   | 393o     |           |         | 
    2018-11-15   |  1265  | 3.91n  | 331o     |           |         | 
    2018-11-14   |  1260  | 3.27n  | 331o     |           |         | 
    2018-11-13   |  1255  | 2.74n  | 224o     |           |         | 
    2018-11-12   |  1250  | 2.19n  | 198o     |           |         | 1088.8%
    2018-11-11   |  1245  | 1.66n  | 128o     |           |         | 
    2018-11-10   |  1240  | 1.39n  | 118o     |           |         | 
    2018-11-9    |  1230  | 829o   | 71.2o    |           |         | 
    2018-11-8    |  1225  |        | 56.3o    |           |         | 
    2018-11-7    |  1220  | 534o   | 33.2o    |           |         | 
    2018-11-6    |  1215  | 443o   | 31.6o    |           |         | 
    2018-11-5    |  1210  | 369o   |          |           |         | 
    2018-11-4    |  1205  | 308o   | 29.4o    |           |         | 
    2018-11-3    |  1200  | 235o   | 23.9o    |           |         | 1062.9%
    2018-11-1    |  1190  | 138o   | 21.7o    |           |         |
    2018-10-31   |  1185  | 115o   | 15.6o    |           |         |
    2018-10-30   |  1180  | 96.7o  | 13.7o    |           |         |
    2018-10-29   |  1170  | 49o?   | 5.04o    |           |         |
    2018-10-26   |  1165  | 41o    | 5.04o    |           |         |
    2018-10-25   |  1160  | 30.7o  | 2.9o     |           |         |
    2018-10-24   |  1155  | 24.9o  | 2.9o     |           |         |
    2018-10-23   |  1150  | 20.7o  |          |           |         |
    2018-10-22   |  1145  | 16.8o  | 2.48o    |           |         |
    2018-10-21   |  1140  |   14o  | 2.05o    |           |         |
    2018-10-20   |  1135  | 11.8o  | 762S     |           |         |
    2018-10-19   |  1130  | 9.94o  | 462S     |           |         |
    2018-10-18   |  1125  |  8.3o  | 368S     |           |         |
    2018-10-17   |  1120  |  5.7o  | 192S     |           |         |
    2018-10-16   |  1105  | 2.67o  | 86.7S    |           |         |
    2018-10-15   |  1100  | 2.08o  |          |           |         |
    2018-10-15   |  1090  |  1.3o  |          |           |         |
    2018-10-14   |  1065  |  390S  | 17.5S    |           |         |
    2018-10-12   |  1055  |  250S  | 14.5S    |           |         |
    2018-10-11   |  1050  |  173S  | 10.3S    |           |         |
    2018-10-9    |  1040  |  110S  |          |           |         |
    2018-9-29    |  1005  |   14S  | 485s     |           |         |
    2018-9-28    |  1000  | 11.5S  |          |           |         |
    2018-9-27    |  980   | 6.88S  | 254s     |           |         |
    2018-9-26    |  975   | 6.33S  | 203s     |           |         |
    2018-9-25    |  970   | 2.46S  | 120s     |           |         |
    2018-9-21    |  945   | 1.02S  |          |           |         |
    2018-9-20    |  940   | 939s   | 29.7s    |           |         |
    2018-9-19    |  935   | 431s   | 19.2s    |           |         | 
    2018-9-18    |  930   | 394s   | 16.3s    |           |         | 
    2018-9-17    |  925   | 361s   | 6.54s    |           |         | 
    2018-9-17    |  900   | 128s   | 6.54s    |           |         | 
    2018-9-14    |  875   | 70.4s  | 2.44s    |           |         | 
    2018-9-13    |  870   | 30.4s  |          |           |         | 
    2018-9-11    |  860   | 18.6s  | 779Q     |           |         | 
    2018-9-10    |  850   | 17s    | 658Q     |           |         | 
    2018-9-09    |  850   | 15.5s  | 611Q     |           |         | 
    2018-9-08    |  845   | 13.1s  | 366Q     |           |         | 
    2018-9-08    |  840   | 12s    | 338Q     |           |         | 
    2018-9-06    |  825   | 9.23s  |          |           |         | 
    2018-9-05    |  800   | 2.08s  |          |           |         | 
    2018-9-03    |  790   | 1.35s  | 29Q      |           |         | 
    2018-9-03    |  755   |  285Q  | 29Q      |           |         | 
    2018-8-27    |  720   | 42.8Q  | 2.04Q    |           |         | 
    2018-8-25    |  685   | 24.4Q  |          |           |         | 
    2018-8-25    |  685   | 22.1Q  | 1.38Q    |           |         | 
    2018-8-24    |  685   | 15.4Q  |          |           |         | 
    2018-8-23    |  680   | 14Q    | 600q     |           |         | 
    2018-8-21    |  675   | 12.8Q  |          |           |         | 
    2018-8-20    |  645   | 2.11Q  |          |           |         | 
    2018-8-20    |  635   | 903q   | 29.1q    |           |         | 
    2018-8-17    |  600?  | 198q   | 8.59q    |           |         | 
    2018-8-16    |  590   | 177q   | 4.02q    |           |         | 
    2018-8-15    |  585   | 158q   |          |           |         | 
    2018-8-13    |  560   |        |          |           |         |
    2018-8-12    |  555   | 28.9q  | 1.39q    |           |         | 
    2018-8-12    |  545   | 23.6q  | 591t     |           |         | 
    2018-8-11    |  530   | 17q    | 394t     |           |         |
    2018-8-10    |  510   | 5.05q  | 108t     |           |         |
    2018-8-9     |  505   | 4.47q  |          |           |         | 
                 |  500   | 3.4q   | 34.8t    |           |         |  
    2018-8-8     |  490   | 456t   |          |           |         | 
    2018-8-7     |  475   | 187t   | 4.53t    |           |         | 
    2018-8-6     |  455   | 101t   | 2.74t    |           |         |
    2018-8-4     |  380   | 5.25t  | 894B     |           |         |
                 |  190   | 1B     |          |           |         |
                 |  160   | 231M   |          |           |         | 
                 |  145   | 93.6M  |          |           |         | 
                 |  140   | 78.2M  |          |           |         | 
                 |  135   | 62.5M  |          |           |         | 
                 |  110   | 15.7M  |          |           |         | 
                 |  100   | 10.3M  |          |           |         |
                 |  75    | 3.05M  |          |           |         |
                 |  70    | 1.93M  |          |           |         | 
                 |  65    | 1.41M  |          |           |         |
                 |  60    | 1.02M  | 21k      |           |         |
                 |  55    | 773K   |          |           |         | 
                 |  25    | 66.3K  |          |           |         |  
                 |  15    | 24.8k  |          |           |         | 

蓝戒指三一一:     1150601/140=8218.578571428572
圆桌钢盾一一:       820747/70=11724.957142857143
火焰潘达一一:     5016979/539=9307.938775510203
张飞一一一一:     5033427/620=8118.43064516129
蓝戒指四一一:     1150601/140=8218.578571428572
勇者长剑一一:      849650/105=8091.9047619047615
揽石锤一一一:       729503/90=8105.5888888888885
战斧一一一一:       566025/85=6659.117647058823
光之女神一一:     2364120/355=6659.492957746479
冒险者之翼五:      737520/110=6704.727272727273
护腕二一一一:       589881/90=6554.233333333334
蓝戒指四一一:      897091/140=6407.792857142857
冒险者之翼一:      696161/110=6328.736363636363
精灵歌姬一一:     2339837/356=6572.5758426966295
大拿兔一一一:     2185011/330=6621.245454545455
护腕一一一一:       524731/90=5830.344444444445
战斧一一一一:       499840/85=5880.470588235294
矮人族长一一:     1595370/280=5697.75
圆盾一一一一:       224027/40=5600.675
短剑一一一一:       287086/60=4784.766666666666
  
